,LEAID,County,State,State/County,School District,ALL_MTH00pctprof_1112,ALL_RLA00pctprof_1112,Ages 5 to 17 in Families in Poverty Percent
1826,625800,Riverside County,CA,Riverside County CA,Moreno Valley Unified,46.0,47.0,23.05
1827,625830,Santa Clara County,CA,Santa Clara County CA,Morgan Hill Unified,57.0,61.0,12.3
1828,625860,San Bernardino County,CA,San Bernardino County CA,Morongo Unified,52.0,56.0,25.55
1829,625980,El Dorado County,CA,El Dorado County CA,Mother Lode Union Elementary,67.0,65.0,11.45
1830,626040,Siskiyou County,CA,Siskiyou County CA,Mt. Shasta Union Elementary,59.0,67.0,28.45
1831,626070,Santa Cruz County,CA,Santa Cruz County CA,Mountain Elementary,77.0,82.0,16.95
1832,626100,San Diego County,CA,San Diego County CA,Mountain Empire Unified,46.0,52.0,19.1
1833,626130,Alameda County,CA,Alameda County CA,Mountain House Elementary,49.5,49.5,16.0
1834,626190,Los Angeles County,CA,Los Angeles County CA,Mountain View Elementary,47.0,45.0,25.75
1835,626220,San Bernardino County,CA,San Bernardino County CA,Mountain View Elementary,56.0,61.0,25.55
1836,626280,Santa Clara County,CA,Santa Clara County CA,Mountain View Whisman,67.0,67.0,12.3
1837,626310,Santa Clara County,CA,Santa Clara County CA,Mountain View-Los Altos Union High,78.0,79.0,12.3
1838,626340,Los Angeles County,CA,Los Angeles County CA,Mt. Baldy Joint Elementary,67.0,82.0,25.75
1839,626370,Contra Costa County,CA,Contra Costa County CA,Mt. Diablo Unified,60.0,61.0,13.7
1840,626400,Santa Clara County,CA,Santa Clara County CA,Mt. Pleasant Elementary,49.0,49.0,12.3
1841,626430,Imperial County,CA,Imperial County CA,Mulberry Elementary,57.0,67.0,31.2
1842,626460,Ventura County,CA,Ventura County CA,Mupu Elementary,67.0,72.0,15.45
1843,626490,Kern County,CA,Kern County CA,Muroc Joint Unified,52.0,60.0,32.95
1844,626640,Napa County,CA,Napa County CA,Napa Valley Unified,58.0,58.0,13.75
1845,626670,San Diego County,CA,San Diego County CA,National Elementary,60.0,52.0,19.1
1846,626760,San Bernardino County,CA,San Bernardino County CA,Needles Unified,38.0,36.0,25.55
1847,626820,Nevada County,CA,Nevada County CA,Nevada City Elementary,61.0,73.0,15.5
1848,626880,Nevada County,CA,Nevada County CA,Nevada Joint Union High,68.0,68.0,15.5
1849,626910,Alameda County,CA,Alameda County CA,New Haven Unified,51.0,58.0,16.0
1850,626970,San Joaquin County,CA,San Joaquin County CA,New Hope Elementary,42.0,47.0,22.8
1851,627030,San Joaquin County,CA,San Joaquin County CA,New Jerusalem Elementary,49.0,53.0,22.8
1852,627040,Shasta County,CA,Shasta County CA,Mountain Union Elementary,24.5,54.5,24.0
1853,627060,Alameda County,CA,Alameda County CA,Newark Unified,62.0,55.0,16.0
1854,627120,Placer County,CA,Placer County CA,Newcastle Elementary,74.0,78.0,9.55
1855,627180,Los Angeles County,CA,Los Angeles County CA,Newhall,81.0,78.0,25.75
1856,627200,Stanislaus County,CA,Stanislaus County CA,Newman-Crows Landing Unified,47.0,47.0,27.8
1857,627240,Orange County,CA,Orange County CA,Newport-Mesa Unified,67.0,66.0,17.0
1858,627300,Marin County,CA,Marin County CA,Nicasio,69.5,69.5,9.8
